district,county_id,county,rep,dem,Unnamed: 6,Unnamed: 7,Unnamed: 8,neighbors
7,139,Henrico,60266,50091,,,,"126,146,42,37,138,43"
7,138,Chesterfield,44063,32481,,,,"21,4,70,126,146,139,146"
7,137,Spotsylvania,23664,17424,,,,"85,17,42,54,66,24"
3,126,Richmond,9606,9715,,,,"138,146,139"
7,66,Orange,9396,6473,,,,"24,137,54,2,100,39,56"
3,62,New Kent,7060,3550,,,,"42,43,19,47,50"
7,54,Louisa,9201,6908,,,,"66,137,42,37,32,2,100"
7,42,Hanover,39071,18060,,,,"17,50,62,43,139,37,54,137"
7,37,Goochland,8304,4682,,,,"54,42,139,70,32,25"
1,24,Culpeper,11714,7865,,,,"66,137,86,30,135,75,56"
8,107,Falls Church,2021,4687,,,,"29,142,143,7"
8,96,Alexandria,19540,47796,,,,"7,29"
8,29,Fairfax,45091,82858,,,,"7,96,143,106,107,142"
8,7,Arlington,33312,75006,,,,"107,143,106,96,29"
9,140,Roanoke,8117,4153,,,,"128,60,23,31,33,77,127,12"
6,128,Salem,7718,4349,,,,"140,127"
9,125,Radford,2562,2674,,,,"60,74,35,11,94,18,31,23,140"
9,121,Norton,799,676,,,,"93,52,81,80,26"
9,118,Martinsville,2482,3409,,,,"44,145"
9,110,Galax,1253,955,,,,"38,91,83,94,18"
6,103,Covington,1136,1164,,,,"3,9,78,12,23,114,99"
9,98,Bristol,4337,2859,,,,"91,81,80,83,38"
9,94,Wythe,7948,4018,,,,"11,74,18,38,110,83"
9,93,Wise,8542,5166,,,,"121,52,81,80,26"
9,91,Washington,15649,9176,,,,"98,81,80,83,38"
9,89,Tazewell,12567,4575,,,,"14,80,83,11"
9,83,Smyth,7339,5061,,,,"89,11,94,38,91,80"
9,81,Scott,6710,3136,,,,"52,93,121,80,91"
9,80,Russell,6863,5035,,,,"26,14,89,83,91,81,93,121"
9,74,Pulaski,9019,5295,,,,"125,60,35,11,94,18,31"
9,68,Patrick,5412,2398,,,,"18,31,33,44"
9,60,Montgomery,20348,19236,,,,"35,23,140,31,74,125"
9,52,Lee,5938,3452,,,,"93,121,81"
9,44,Henry,10203,5980,,,,"118,145,33,68"
9,38,Grayson,4249,2391,,,,"91,83,94,18,110"
9,35,Giles,4792,2694,,,,"11,74,60,23"
9,31,Floyd,4528,2846,,,,"60,74,18,140,33,68"
9,26,Dickenson,3564,3234,,,,"93,121,80,14"
9,23,Craig,1176,835,,,,"35,60,140,12,3,103"
9,18,Carroll,7636,3747,,,,"94,74,31,68,38,110"
9,14,Buchanan,5689,3760,,,,"26,80,89"
9,11,Bland,2045,827,,,,"89,83,94,74,35"
6,3,Alleghany,4057,2871,,,,"9,78,12,23,103,114,99"
10,142,Fairfax,51419,33663,,,,"143,53,7,141,117"
10,141,Prince William,18208,11041,,,,"135,53,142,73,117"
10,134,Winchester,5797,3631,,,,"34,22,82,90"
10,117,Manassas Park,2035,2356,,,,"116,142"
10,116,Manassas,7692,6570,,,,"73,141,117"
10,53,Loudoun,87191,63168,,,,"22,135,141,142,143,106"
10,34,Frederick,24712,9164,,,,"134,22,82,90"
10,22,Clarke,4883,2282,,,,"34,134,90,135,53"
11,144,Prince William,19819,46411,,,,"73,142,143,106"
11,143,Fairfax,78629,123970,,,,"142,107,29,144,53,7"
8,106,Fairfax,4522,6305,,,,"143,53"
