### Thu Jan 27 09:48:37 PM
102	->	583
103	->	583
263	->	583
120	->	583
103	->	478
301	-|	478
300	-|	478
108	-|	312
163	->	239
109	-|	561
292	->	561
285	-|	561
281	-|	561
163	->	637
105	->	501
293	->	501
114	->	336
193	->	336
119	->	336
118	->	336
191	->	336
660	->	336
121	->	336
650	->	336
345	->	522
572	->	580
422	-|	222
422	-|	482
305	-|	514
572	->	514
302	-|	514
418	-|	415
123	->	269
486	->	269
623	->	269
275	->	269
270	->	269
271	->	269
272	->	269
122	->	269
268	->	269
557	->	269
558	->	269
560	->	269
314	->	269
146	->	269
300	-|	301
301	->	303
300	->	303
20	-|	73
21	->	73
96	->	502
95	->	502
294	->	502
151	->	502
263	->	62
20	-|	62
184	->	62
263	->	63
20	-|	63
200	-|	63
184	->	63
622	->	375
323	->	205
389	->	205
216	->	205
408	->	205
350	->	205
201	->	205
200	->	205
196	->	205
206	->	205
207	->	205
203	->	205
204	->	205
372	->	205
197	-|	79
572	->	393
209	->	393
635	->	393
683	->	393
394	->	393
395	->	393
396	->	393
397	->	393
478	-|	628
305	-|	628
422	->	628
468	-|	628
685	-|	628
542	-|	628
269	-|	628
298	-|	628
8	-|	628
402	-|	628
602	-|	628
466	-|	628
307	->	628
523	-|	628
526	->	628
348	-|	628
349	-|	628
200	-|	628
431	-|	628
432	-|	628
58	-|	628
116	-|	628
66	-|	628
76	-|	628
190	-|	628
152	-|	628
65	-|	628
2	->	241
7	->	241
513	->	241
50	->	241
176	->	125
447	-|	125
3	-|	366
32	-|	366
249	-|	366
93	->	316
315	->	316
164	->	462
423	->	462
484	-|	462
20	->	462
229	->	462
493	-|	462
494	->	462
3	-|	462
406	->	462
165	->	462
483	-|	462
497	->	462
257	->	462
76	->	462
65	->	462
108	-|	481
112	->	481
3	-|	481
382	-|	481
32	-|	481
220	-|	481
169	-|	481
128	-|	481
249	-|	481
126	->	240
127	->	240
291	->	240
481	->	240
7	->	240
534	->	240
535	->	240
261	->	240
454	->	240
130	->	240
169	->	240
121	->	240
128	->	240
249	->	240
224	->	210
139	->	210
138	->	210
96	->	503
95	->	503
7	->	503
294	->	503
7	->	504
279	-|	473
109	->	4
487	->	4
488	->	4
543	->	4
20	->	4
618	->	4
8	->	4
406	->	4
455	->	4
431	->	4
76	->	4
147	->	4
20	->	24
8	->	24
402	->	24
237	->	24
21	->	24
431	->	24
116	->	24
190	->	24
345	->	69
8	->	69
313	-|	69
295	-|	69
68	->	69
373	->	188
565	->	188
566	->	188
373	->	368
566	->	368
416	->	593
400	->	593
596	->	593
597	->	593
598	->	593
664	->	593
594	->	593
595	->	593
478	->	6
263	->	6
120	->	6
162	->	6
84	-|	6
284	-|	474
285	-|	474
286	-|	474
453	->	474
281	-|	474
102	-|	635
104	-|	635
527	-|	635
99	-|	635
129	-|	635
583	->	549
104	->	549
325	->	549
585	->	549
277	->	549
9	->	549
276	->	549
508	->	549
582	->	549
15	->	59
16	->	59
18	->	59
259	->	59
11	->	59
19	->	60
17	->	60
12	->	60
13	->	60
10	->	60
14	->	60
260	->	60
257	->	60
