### Fri Jun 04 10:54:52 AM
1	-|	24
18	->	24
49	-|	24
73	->	24
76	-|	24
85	-|	24
116	-|	24
143	->	24
151	-|	24
152	-|	24
164	-|	24
171	-|	24
176	-|	24
200	-|	24
214	-|	24
239	-|	24
280	-|	24
346	-|	24
352	-|	24
1	-|	147
7	-|	147
146	-|	147
200	->	147
304	->	147
313	-|	147
313	->	147
321	-|	147
1	->	189
57	-|	189
58	-|	189
58	->	189
287	-|	189
92	->	189
190	-|	189
107	->	189
143	->	189
164	->	189
170	-|	189
170	->	189
195	->	189
198	->	189
267	->	189
268	->	189
280	-|	189
290	-|	189
309	->	189
352	-|	189
364	->	189
1	-|	201
5	-|	201
24	->	142
16	->	142
5	->	142
44	->	142
56	->	142
73	-|	142
86	->	142
89	->	142
120	->	142
145	->	142
171	->	142
198	->	142
267	->	142
268	->	142
271	-|	142
275	->	142
364	->	142
7	->	277
13	->	277
14	->	277
18	->	277
5	->	277
64	->	277
92	->	277
148	->	277
207	->	277
270	->	277
273	->	277
289	->	277
291	->	277
307	->	277
7	-|	269
56	-|	269
86	-|	269
89	-|	269
120	->	269
143	-|	269
145	-|	269
267	->	269
268	->	269
275	->	269
279	->	269
280	->	269
370	-|	269
7	->	408
12	->	408
13	-|	408
13	->	408
31	->	408
32	->	408
33	->	408
45	->	408
217	->	408
218	->	408
227	->	408
250	->	408
251	->	408
278	->	408
294	->	408
295	->	408
296	->	408
305	->	408
306	->	408
307	->	408
346	->	408
348	->	408
349	->	408
366	->	408
367	->	408
381	->	408
397	->	408
14	->	6
11	->	6
17	->	18
19	-|	20
19	->	20
21	-|	20
21	->	20
22	-|	20
22	->	20
23	->	20
2	->	354
144	->	354
152	->	354
272	->	354
352	->	354
3	-|	4
13	->	66
16	->	66
20	->	66
5	->	66
56	->	66
60	->	66
153	->	66
340	-|	66
340	->	66
63	->	66
72	-|	66
83	->	66
85	-|	66
86	-|	66
87	-|	66
87	->	66
95	->	66
96	->	66
111	->	66
117	-|	66
135	->	66
143	->	66
150	->	66
154	-|	66
154	->	66
156	->	66
165	->	66
166	->	66
265	->	66
168	->	66
171	->	66
172	->	66
173	->	66
175	->	66
176	->	66
179	->	66
181	->	66
206	->	66
